,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
51,Cameroon,4,80+,75000.0,1.0,30000.0,1.0,29999.0,45000.0,0.0,45000.0,inf,,inf
52,Canada,1,0-19,7942000.0,51.0,4064000.0,23.0,4063977.0,3878000.0,28.0,3877972.0,0.7838336614173227,0.45152540908110544,1.3607101536572108
53,Canada,2,20-49,15223000.0,1132.0,7650000.0,710.0,7649290.0,7573000.0,422.0,7572578.0,1.665529845429483,1.4764983931577569,1.8787624008744654
54,Canada,3,50-79,12915000.0,15304.0,6356000.0,9451.0,6346549.0,6559000.0,5853.0,6553147.0,1.6662991831441536,1.6128816208010222,1.7214858994846285
55,Canada,4,80+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
56,Chile,1,0-19,4922000.0,132.0,2504000.0,61.0,2503939.0,2418000.0,71.0,2417929.0,0.8296472123475678,0.5892376608860984,1.168144099820435
57,Chile,2,20-49,8520000.0,3116.0,4297000.0,1983.0,4295017.0,4223000.0,1133.0,4221867.0,1.7200795480990965,1.599019060223754,1.8503054312403122
58,Chile,3,50-79,5136000.0,27283.0,2428000.0,16560.0,2411440.0,2708000.0,10723.0,2697277.0,1.7224396096336978,1.6812014279434901,1.7646893224830213
59,Chile,4,80+,538000.0,17721.0,195000.0,8307.0,186693.0,343000.0,9414.0,333586.0,1.5521351179094967,1.50780534419909,1.5977681956868217
60,chile,1,0-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
61,chile,2,20-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
62,chile,3,50-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
63,chile,4,80+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
64,Colombia,1,0-19,15535000.0,408.0,7939000.0,228.0,7938772.0,7596000.0,180.0,7595820.0,1.2119410505101398,0.9968048354434624,1.4735092143269701
65,Colombia,2,20-49,23108000.0,16407.0,11434000.0,10888.0,11423112.0,11674000.0,5519.0,11668481.0,2.0142307381344833,1.9500615682989875,2.0805114732786416
66,Colombia,3,50-79,11296000.0,86686.0,5224000.0,53342.0,5170658.0,6072000.0,33344.0,6038656.0,1.8594315362728642,1.8342537383104611,1.8849549360988453
67,Colombia,4,80+,945000.0,36393.0,388000.0,20556.0,367444.0,557000.0,15837.0,541163.0,1.8633273640157557,1.825857635573077,1.901566035514133
68,Costa Rica,1,0-19,1426000.0,48.0,729000.0,29.0,728971.0,697000.0,19.0,696981.0,1.45931701682189,0.8183060580411089,2.6024567882142655
69,Costa Rica,2,20-49,2301000.0,1127.0,1160000.0,715.0,1159285.0,1141000.0,412.0,1140588.0,1.7070116337462335,1.512161447768405,1.9269693206669172
70,Costa Rica,3,50-79,1258000.0,4798.0,610000.0,2926.0,607074.0,648000.0,1872.0,646128.0,1.6604035308953342,1.566990722543202,1.7593849444974514
71,Costa Rica,4,80+,113000.0,2095.0,48000.0,1222.0,46778.0,65000.0,873.0,64127.0,1.8955231004200077,1.7392298570847233,2.06586139812965
72,Croatia,1,0-19,794000.0,5.0,408000.0,2.0,407998.0,386000.0,3.0,385997.0,0.630718954248366,0.10538694396738417,3.7747218419320343
73,Croatia,2,20-49,1568000.0,75.0,797000.0,43.0,796957.0,771000.0,32.0,770968.0,1.2999137390213298,0.8226023275478548,2.054183014450699
74,Croatia,3,50-79,1508000.0,2398.0,701000.0,1507.0,699493.0,807000.0,891.0,806109.0,1.9471125904792095,1.79244366544204,2.115127807415742
75,Croatia,4,80+,234000.0,2371.0,73000.0,1061.0,71939.0,161000.0,1310.0,159690.0,1.786269998954303,1.6481464157743746,1.9359690854074032
76,Cuba,1,0-19,2461000.0,4.0,1272000.0,2.0,1271998.0,1189000.0,2.0,1188998.0,0.934748427672956,0.13166739744539332,6.636074229381173
77,Cuba,2,20-49,4544000.0,133.0,2333000.0,68.0,2332932.0,2211000.0,65.0,2210935.0,0.9914471298097531,0.7056906636638304,1.3929154257257585
78,Cuba,3,50-79,3900000.0,1185.0,1846000.0,704.0,1845296.0,2054000.0,481.0,2053519.0,1.628532107405347,1.450270281235533,1.8287052138934232
79,Cuba,4,80+,424000.0,584.0,176000.0,316.0,175684.0,248000.0,268.0,247732.0,1.6614654002713705,1.4120650552580176,1.9549150841315188
80,Curaçao,1,0-19,40000.0,0.0,21000.0,0.0,21000.0,19000.0,0.0,19000.0,,,
81,Curaçao,2,20-49,58000.0,14.0,27000.0,8.0,26992.0,31000.0,6.0,30994.0,1.5308641975308641,0.5312286122043008,4.411556790131124
82,Curaçao,3,50-79,57000.0,145.0,25000.0,84.0,24916.0,32000.0,61.0,31939.0,1.7626229508196722,1.268082324139221,2.450029944913224
83,Curaçao,4,80+,6000.0,104.0,2000.0,52.0,1948.0,4000.0,52.0,3948.0,2.0,1.3668731866293033,2.926387055600939
84,Cyprus,1,0-19,273000.0,4.0,141000.0,2.0,140998.0,132000.0,2.0,131998.0,0.9361702127659575,0.13186935344567546,6.646082993280948
85,Cyprus,2,20-49,546000.0,37.0,278000.0,27.0,277973.0,268000.0,10.0,267990.0,2.602877697841727,1.2599526850816913,5.377164071429065
