,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI,Significant?
98,Cuba,3,50-79,3900000,1185,1846000,704,1845296,2054000,481,2053519,1.63,1.45,1.83,*
99,Cuba,4,80+,424000,584,176000,316,175684,248000,268,247732,1.66,1.41,1.95,*
100,Curaçao,1,0-19,40000,0,21000,0,21000,19000,0,19000,,,,ns
101,Curaçao,2,20-49,58000,14,27000,8,26992,31000,6,30994,1.53,0.53,4.41,ns
102,Curaçao,3,50-79,57000,145,25000,84,24916,32000,61,31939,1.76,1.27,2.45,*
103,Curaçao,4,80+,6000,104,2000,52,1948,4000,52,3948,2.00,1.37,2.93,*
104,Cyprus,1,0-19,273000,4,141000,2,140998,132000,2,131998,0.94,0.13,6.65,ns
105,Cyprus,2,20-49,546000,37,278000,27,277973,268000,10,267990,2.60,1.26,5.38,*
106,Cyprus,3,50-79,345000,510,168000,347,167653,177000,163,176837,2.24,1.86,2.70,*
107,Cyprus,4,80+,40000,501,16000,269,15731,24000,232,23768,1.74,1.46,2.07,*
108,Czech Republic,1,0-19,2175000,12,1116000,7,1115993,1059000,5,1058995,1.33,0.42,4.19,ns
109,Czech Republic,2,20-49,4382000,716,2247000,444,2246556,2135000,272,2134728,1.55,1.33,1.80,*
110,Czech Republic,3,50-79,3708000,22263,1756000,14194,1741806,1952000,8069,1943931,1.96,1.90,2.01,*
111,Czech Republic,4,80+,445000,18276,153000,8650,144350,292000,9626,282374,1.71,1.67,1.76,*
112,Denmark,1,0-19,1282000,7,657000,5,656995,625000,2,624998,2.38,0.46,12.26,ns
113,Denmark,2,20-49,2186000,122,1105000,75,1104925,1081000,47,1080953,1.56,1.08,2.25,*
114,Denmark,3,50-79,2050000,2399,1008000,1520,1006480,1042000,879,1041121,1.79,1.65,1.94,*
115,Denmark,4,80+,273000,3889,108000,1909,106091,165000,1980,163020,1.47,1.38,1.57,*
116,Dominican Republic,1,0-19,3935000,47,2007000,20,2006980,1928000,27,1927973,0.71,0.40,1.27,ns
117,Dominican Republic,2,20-49,4693000,619,2348000,375,2347625,2345000,244,2344756,1.53,1.31,1.80,*
118,Dominican Republic,3,50-79,2038000,2580,984000,1676,982324,1054000,904,1053096,1.99,1.83,2.15,*
