country,deathsF,deathsM,populationin1000sF,populationin1000sM,Total infection,Total Death,% female infection,% male infection,% female death,% male death,Num female infection,Num female death,Num male infection,Num male death
Trinidad and Tobago,1029,1398,708,692,1400000,2427,50.57,49.43,42.4,57.6,707980,1029,692020,1398
Tunisia,400,814,5957,5861,11818000,1214,50.41,49.59,32.95,67.05,5957454,400,5860546,814
Turkey,38633,49884,42703,41637,84340000,88517,50.63,49.37,43.64,56.36,42701342,38629,41638658,49888
Turks and Caicos,17,17,0,0,0,34,,,50,50,0,17,0,17
USA,379626,464993,167217,163786,331003000,844619,50.52,49.48,44.95,55.05,167222716,379656,163780284,464963
Uganda,112,252,15838,15046,30884000,364,51.28,48.72,30.77,69.23,15837315,112,15046685,252
Ukraine,57678,48780,23472,20264,43736000,106458,53.67,46.33,54.18,45.82,23473111,57679,20262889,48779
Venezuela,236,365,14452,13986,28438000,601,50.82,49.18,39.27,60.73,14452192,236,13985808,365
Vietnam,49,37,48741,48153,96894000,86,50.3,49.7,56.98,43.02,48737682,49,48156318,37
Wales,4656,5527,1349,1293,2642000,10183,51.06,48.94,45.72,54.28,1349005,4656,1292995,5527
