,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
32,Brunei Darussalam,2,20-49,215000,20,113000,12.0,112988.0,102000,8.0,101992.0,1.3539823008849559,0.5534834894458095,3.312236238420281
33,Brunei Darussalam,3,50-79,89000,48,46000,31.0,45969.0,43000,17.0,42983.0,1.7046035805626598,0.9436084758474247,3.079320969703613
34,Brunei Darussalam,4,80+,4000,24,2000,12.0,1988.0,2000,12.0,1988.0,1.0,0.45033544626700883,2.220566931360515
35,Cabo Verde,2,20-49,257000,7,134000,4.0,133996.0,123000,3.0,122997.0,1.2238805970149254,0.27391756059651867,5.468374179762781
36,Cabo Verde,3,50-79,80000,55,35000,37.0,34963.0,45000,18.0,44982.0,2.642857142857143,1.504988102353733,4.641029298920886
37,Cabo Verde,4,80+,6000,49,2000,23.0,1977.0,4000,26.0,3974.0,1.7692307692307694,1.012138999260043,3.0926360085732467
38,Cambodia,2,20-49,7337000,37,3606000,27.0,3605973.0,3731000,10.0,3730990.0,2.793594009983361,1.352246811689943,5.7712596732706025
39,Cambodia,3,50-79,2468000,62,1057000,29.0,1056971.0,1411000,33.0,1410967.0,1.173102835354491,0.7123248468158746,1.9319419622497955
40,Cambodia,4,80+,94000,6,35000,3.0,34997.0,59000,3.0,58997.0,1.6857142857142857,0.3402450181835866,8.351724496162822
41,Cameroon,1,0-19,14023000,4,7069000,2.0,7068998.0,6954000,2.0,6953998.0,0.9837317866742115,0.13856694481847862,6.9838317455938075
42,Cameroon,2,20-49,10093000,61,5052000,40.0,5051960.0,5041000,21.0,5040979.0,1.9006145609471028,1.120751526135983,3.2231369978485813
43,Cameroon,3,50-79,2356000,25,1127000,15.0,1126985.0,1229000,10.0,1228990.0,1.6357586512866016,0.734874264978702,3.6410396890636907
